# Hastane Sistemi - Örnek Hasta Verileri (100 kayıt)
# Format: TC,AD,SOYAD,YAS,POLİKLİNİK,TELEFON
10000000055,Tarkan,Bayram,44,Ortopedi,05321234621
10000000056,Serap,Tosun,59,Kardiyoloji,05331234622
10000000057,Ferhat,Ozcan,21,Noroloji,05341234623
10000000058,Hulya,Arslan,76,Gastroenteroloji,05351234624
10000000059,Erhan,Demirel,38,Genel Cerrahi,05361234625
10000000060,Kamile,Cetin,46,Ortopedi,05371234626
10000000061,Serhat,Unal,70,Kardiyoloji,05381234627
10000000062,Fatih,Kucuk,29,Noroloji,05391234628
10000000063,Cigdem,Sari,42,Gastroenteroloji,05301234629
10000000064,Orhan,Ates,55,Genel Cerrahi,05321234630
10000000065,Yesim,Ekici,32,Ortopedi,05331234631
10000000066,Haluk,Aras,64,Kardiyoloji,05341234632
10000000067,Nurten,Pektas,37,Noroloji,05351234633
10000000068,Ilker,Dincer,50,Gastroenteroloji,05361234634
10000000069,Nazan,Bektas,25,Genel Cerrahi,05371234635
10000000070,Bulent,Ozdemir,68,Ortopedi,05381234636
10000000071,Selda,Akgul,43,Kardiyoloji,05391234637
10000000072,Uğur,Mert,31,Noroloji,05301234638
10000000073,Nalan,Basaran,57,Gastroenteroloji,05321234639
10000000074,Tarik,Ceylan,22,Genel Cerrahi,05331234640
10000000075,Suna,Kose,75,Ortopedi,05341234641
10000000076,Hakan,Altintas,48,Kardiyoloji,05351234642
10000000077,Semra,Ucar,36,Noroloji,05361234643
10000000078,Cenk,Kara,53,Gastroenteroloji,05371234644
10000000079,Ozlem,Baykal,41,Genel Cerrahi,05381234645
10000000080,Baris,Bozkurt,26,Ortopedi,05391234646
10000000081,Nilgün,Genc,62,Kardiyoloji,05301234647
10000000082,Yavuz,Kaya,39,Noroloji,05321234648
10000000083,Asli,Dogan,47,Gastroenteroloji,05331234649
10000000084,Ihsan,Yalcin,34,Genel Cerrahi,05341234650
10000000085,Rukiye,Coban,71,Ortopedi,05351234651
10000000086,Sencer,Guven,28,Kardiyoloji,05361234652
10000000087,Tuba,Aydogan,45,Noroloji,05371234653
10000000088,Firat,Kizilkaya,60,Gastroenteroloji,05381234654
10000000089,Hatice,Sahin,33,Genel Cerrahi,05391234655
10000000090,Adnan,Ozturk,56,Ortopedi,05301234656
10000000091,Irem,Cakir,24,Kardiyoloji,05321234657
10000000092,Mesut,Ozer,67,Noroloji,05331234658
10000000093,Arzu,Topal,40,Gastroenteroloji,05341234659
10000000094,Ramazan,Kurt,52,Genel Cerrahi,05351234660
10000000095,Sevil,Yigit,29,Ortopedi,05361234661
10000000096,Ekrem,Demircan,73,Kardiyoloji,05371234662
10000000097,Necla,Gurbuz,35,Noroloji,05381234663
10000000098,Ahmet,Kılıc,49,Gastroenteroloji,05391234664
10000000099,Emine,Arslan,58,Genel Cerrahi,05301234665
10000000100,Bora,Celik,21,Ortopedi,05321234666
